network,mean,sd,min,max
DMN,0.19855572523636364,0.05856471095803065,0.061243648,0.379200141
FPN,0.233143568,0.06534589040407428,0.047903711,0.405188696
SAL,0.26622952494545454,0.08097824559138077,0.063358508,0.45443386
AUD,0.36589955685454545,0.1403979735102951,0.021280378,0.711180747
CON,0.1706337428909091,0.05051227744237946,0.055036929,0.291789218
DAN,0.23526552207272727,0.07039759379152792,0.065288751,0.382426795
VAN,0.26449234207272726,0.09059897899239339,2.58e-4,0.460754949
VIS,0.37344400403636363,0.11155692502932807,0.145798729,0.619257674
SMD,0.27113942183636364,0.07776046275587556,0.130530298,0.465736344
SML,0.25516603492727274,0.054901897729719935,0.163203936,0.380613355
REW,0.21359236590909092,0.11935339667517063,-0.102908456,0.491665835
MTL,0.42078739649090907,0.13983577131310085,0.104035328,0.789755481
PMN,0.502510359490909,0.19740414767847445,0.099552555,0.919047607
DMN_FPN,0.13287502843636365,0.06485346509119953,-0.036742503,0.255631578
DMN_SAL,0.11826912607272727,0.06848844058784748,-0.048558569,0.27020303
DMN_AUD,0.0936426183090909,0.06638849569053554,-0.05553956,0.270138185
DMN_CON,0.07292396074545454,0.04801013455270181,-0.045114899,0.189286079
DMN_DAN,0.10498797772727272,0.06341630092623832,-0.027559419,0.231763666
DMN_VAN,0.15535570687272726,0.06884839454781198,0.002297917,0.288254204
DMN_VIS,0.10143895765454546,0.06434648327896048,-0.050394921,0.292700575
DMN_SMD,0.07762000381818182,0.06035689103220108,-0.058881748,0.186946373
DMN_SML,0.07591425594545455,0.040314432448197726,-0.02411614,0.190849397
DMN_REW,0.1137920546909091,0.06862667958787179,-0.007131733,0.240779311
DMN_MTL,0.11076402294545455,0.06510481663452679,-0.019860656,0.260092808
DMN_PMN,0.20760663047272726,0.07820990554513786,0.021185588,0.368435825
FPN_SAL,0.13973556403636364,0.07359245251203202,-0.075375005,0.276404491
FPN_AUD,0.07720507592727273,0.09629147859536946,-0.099292663,0.345739753
FPN_CON,0.10035295516363636,0.05936736522390208,-0.058475995,0.250570713
FPN_DAN,0.14720464883636364,0.07431441723649433,-0.084621733,0.290976661
FPN_VAN,0.10865571072727273,0.08226056260623685,-0.098943379,0.267297378
FPN_VIS,0.10086661903636364,0.07505915746457957,-0.034564195,0.271909177
FPN_SMD,0.11126794658181818,0.08869712431988884,-0.086219437,0.24747939
FPN_SML,0.051947792345454546,0.04306387579951991,-0.018321653,0.156082772
FPN_REW,0.09201522274545455,0.05730075997256561,-0.011954327,0.19402952
FPN_MTL,0.04802597950909091,0.05529028843888696,-0.077836468,0.217161863
FPN_PMN,0.2111461258909091,0.1072451425233158,0.020229166,0.488490151
SAL_AUD,0.1435209271818182,0.08068052831273533,-0.020651047,0.330908865
SAL_CON,0.1636068736,0.05714632360029167,0.02209168,0.28039832
SAL_DAN,0.09793543705454545,0.06818696283129204,-0.050876524,0.278211834
SAL_VAN,0.1549384144,0.06725814057883611,-0.049367488,0.328015523
SAL_VIS,0.11868780978181818,0.07604429103955822,-0.034841572,0.289570369
SAL_SMD,0.07554280861818181,0.07304494006655167,-0.05995952,0.255730311
SAL_SML,0.0918825591090909,0.06765597705732113,-0.032096226,0.268209074
SAL_REW,0.14880479798181817,0.07762901222633363,-0.001073484,0.306391851
SAL_MTL,0.04654380067272727,0.06038987366575901,-0.131010209,0.200101989
SAL_PMN,0.11574631947272727,0.09634458056951203,-0.15426756,0.357122385
AUD_CON,0.16272369732727274,0.07825408437624502,-0.051561568,0.359889864
AUD_DAN,0.08870986941818182,0.09507503531404234,-0.090580904,0.298155623
AUD_VAN,0.20575859158181817,0.09576108369468181,-0.158071233,0.395575409
AUD_VIS,0.13847063967272727,0.09595422647217523,-0.062850336,0.353546113
AUD_SMD,0.15373135934545454,0.08012293993204782,-0.01013372,0.393283727
AUD_SML,0.2024582866,0.07353315729094716,0.035951766,0.396037557
AUD_REW,0.06496087436363636,0.0911393391865259,-0.07672032,0.308025238
AUD_MTL,0.06275227707272728,0.07393727955018779,-0.103249314,0.275739705
AUD_PMN,0.07280203878181818,0.09603993165361037,-0.183687959,0.27110962
CON_DAN,0.10452555763636363,0.05794137221773835,0.00444181,0.30539647
CON_VAN,0.14715583610909092,0.061325831923440224,0.022491046,0.27071429
CON_VIS,0.09399504507272727,0.06481670021010437,-0.051608242,0.216700585
CON_SMD,0.12451109367272727,0.060304816882525016,-0.056723177,0.316887435
